0,-------,---,---,---,---,---,---,---,---
0,RESULTS,,,,,,,,
0,overall-result,PENDING,,,,,,,
0,z_leveling_test,NOT_RUN,,,,,,,
0,ch8_leveling_test,PASS,,,,,,,
0,ch96_leveling_test,NOT_RUN,,,,,,,
0,gripper_leveling_test,NOT_RUN,,,,,,,
0.01,--------,,,,,,,,
0.01,METADATA,,,,,,,,
0.01,test-name,test-cli-leveling,,,,,,,
0.01,operator-name,andy,,,,,,,
0.01,session-id,FLXA3020250805002,,,,,,,
0.01,robot,FLXA3020250805002,,,,,,,
0.01,date,run-26-07-09-11-31-10,,,,,,,
0.01,live,,,,,,,,
0.02,version,test-cli-leveling-report-v1,,,,,,,
0.02,-------------------,,,,,,,,
0.1,----,,,,,,,,
0.1,TEST,,,,,,,,
0.1,TEST,ch8_leveling_test,,,,,,,
START_TIME,ROBOT_SN,LEFT_C1_Y_LEFT_REAR,LEFT_C1_Y_LEFT_FRONT,LEFT_C1_Y_RESULT,RIGHT_C1_Y_RIGHT_REAR,RIGHT_C1_Y_RIGHT_FRONT,RIGHT_C1_Y_RESULT,RIGHT_A2_Y_RIGHT_REAR,RIGHT_A2_Y_RIGHT_FRONT,RIGHT_A2_Y_RESULT,RIGHT_C3_Y_RIGHT_REAR,RIGHT_C3_Y_RIGHT_FRONT,RIGHT_C3_Y_RESULT,RESULT_STATUS
2026-07-09-11-30-27,FLXA3020250805002,30.12,30.096,0.024,30.216,30.156,0.06,30.126,30.168,0.042,30.134,30.104,0.03,PASS
