0,-------,---,---,---,---,---,---,---,---
0,RESULTS,,,,,,,,
0,overall-result,PENDING,,,,,,,
0,z_leveling_test,NOT_RUN,,,,,,,
0,ch8_leveling_test,NOT_RUN,,,,,,,
0,ch96_leveling_test,NOT_RUN,,,,,,,
0,gripper_leveling_test,PASS,,,,,,,
0.01,--------,,,,,,,,
0.01,METADATA,,,,,,,,
0.01,test-name,test-cli-leveling,,,,,,,
0.01,operator-name,Andy,,,,,,,
0.01,session-id,SIM-LANG-GRIP,,,,,,,
0.01,robot,SIM-LANG-GRIP,,,,,,,
0.01,date,run-26-06-17-13-17-31,,,,,,,
0.01,live,,,,,,,,
0.02,version,test-cli-leveling-report-v1,,,,,,,
0.02,-------------------,,,,,,,,
0.1,----,,,,,,,,
0.1,TEST,,,,,,,,
0.1,TEST,gripper_leveling_test,,,,,,,
START_TIME,ROBOT_SN,LEFT_C2_X_REAR_LEFT,LEFT_C2_X_REAR_RIGHT,LEFT_C2_X_RESULT,LEFT_C2_Y_RIGHT_FRONT,LEFT_C2_Y_RIGHT_REAR,LEFT_C2_Y_RESULT,LEFT_C2_Z_BELOW_REAR,LEFT_C2_Z_BELOW_FRONT,LEFT_C2_Z_RESULT,RESULT_STATUS
2026-06-17-13-17-31,SIM-LANG-GRIP,30.025,30.01,0.015,30.046,30.035,0.011,30.14,30.082,0.058,PASS
