0,-------,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,overall-result,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,z_leveling_test,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ch8_leveling_test,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ch96_leveling_test,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,gripper_leveling_test,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,--------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,METADATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,test-name,test-cli-leveling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,operator-name,andy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,session-id,FLXU3020260601004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,robot,FLXU3020260601004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,date,run-26-07-22-13-25-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,version,test-cli-leveling-report-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,-------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,TEST,ch96_leveling_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
START_TIME,ROBOT_SN,LEFT_A2_Y_LEFT_REAR,LEFT_A2_Y_LEFT_FRONT,LEFT_A2_Y_RESULT,LEFT_C1_Y_LEFT_REAR,LEFT_C1_Y_LEFT_FRONT,LEFT_C1_Y_RESULT,LEFT_C3_Y_RIGHT_REAR,LEFT_C3_Y_RIGHT_FRONT,LEFT_C3_Y_RESULT,LEFT_A2_X_REAR_LEFT,LEFT_A2_X_REAR_RIGHT,LEFT_A2_X_RESULT,LEFT_C1_X_REAR_LEFT,LEFT_C1_X_REAR_RIGHT,LEFT_C1_X_RESULT,LEFT_C3_X_REAR_LEFT,LEFT_C3_X_REAR_RIGHT,LEFT_C3_X_RESULT,LEFT_A2_Z_BELOW_REAR_LEFT,LEFT_A2_Z_BELOW_REAR_RIGHT,LEFT_A2_Z_BELOW_FRONT_LEFT,LEFT_A2_Z_BELOW_FRONT_RIGHT,LEFT_A2_Z_RESULT,LEFT_D1_Z_BELOW_REAR_LEFT,LEFT_D1_Z_BELOW_REAR_RIGHT,LEFT_D1_Z_BELOW_FRONT_LEFT,LEFT_D1_Z_BELOW_FRONT_RIGHT,LEFT_D1_Z_RESULT,LEFT_D3_Z_BELOW_REAR_LEFT,LEFT_D3_Z_BELOW_REAR_RIGHT,LEFT_D3_Z_BELOW_FRONT_LEFT,LEFT_D3_Z_BELOW_FRONT_RIGHT,LEFT_D3_Z_RESULT,LEFT_C2_Z_BELOW_REAR_LEFT,LEFT_C2_Z_BELOW_REAR_RIGHT,LEFT_C2_Z_BELOW_FRONT_LEFT,LEFT_C2_Z_BELOW_FRONT_RIGHT,LEFT_C2_Z_RESULT,RESULT_STATUS,
2026-07-22-13-28-22,FLXA3020250805002,29.888,29.934,0.046,29.914,29.91,0.004,29.844,29.866,0.022,30.058,30.136,0.078,29.992,30.03,0.038,29.976,29.958,0.018,29.966,29.912,30.022,29.98,0.11,29.946,29.844,29.94,29.862000000000002,0.102,29.964,29.831999999999997,29.896,29.762,0.202,29.97,29.876,29.89,29.796,0.174,PASS,
0.1,TEST,ch8_leveling_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
