copy,copy,copy,copy,,,5ul %D - T50,50ul %D - T50,200ul %D - T200,1000ul %D - T1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,_______________,,,,Aspirate %D,-32.61,3.40,0.16,-0.32,,,,,,,,,,,,Test Version,test_version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,META_DATA_START,,,,Dispense %D,-33.48,3.33,0.15,-0.35,,,,,,,,,,,,,ai_server@0.0.19_55_g5997dcad97-5997dcad97,ai_server@0.0.19_55_g5997dcad97,5997dcad97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,test_name,gravimetric-ot3-p1000-96,,,Tip Batch,Unused,Unused,Unused,Unused,,,,,,,,,,,,Firmware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.70,test_tag,P1KHV3620260603A01-qc,,,Serial Number,P1KHV3620260603A01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,test_run_id,run-26-07-01-09-00-23,,,Scale,590751,,,,,,,,,,,,,,,TRIALS,,,,,,,,,,,MEASURE,,,,,,,,,,,,,,,ENCODER,,,,,,,,,,
10.30,test_device_id,P1KHV3620260603A01-qc,,,Robot,NODE3,,,,,,,,,,,,,,,,time,value,,,,,,,,,,time,value,,,,,,,,,,,,,,time,value,,,,,,,,
10.90,test_robot_id,None,,,Date,2026/07/01,,,,,,,,,,,,,,,trial-1-aspirate-5.0-ul-channel_1,1682.60,3.88,trial,1.00,aspirate,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-celsius-pipette,316.30,-45.00,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,celsius,pipette,,,,,encoder-volume-5.0-channel_0-trial-1-start-target,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,1.00,start,target
0.00,test_time_utc,2026/07/01-09:00:24,,,Avg Air Temp,#N/A,#N/A,#N/A,,,,,,,,,,,,,trial-1-dispense-5.0-ul-channel_1,1682.70,3.80,trial,1.00,dispense,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-humidity-pipette,316.30,42.24,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,humidity,pipette,,,,,encoder-volume-5.0-channel_0-trial-1-start-encoder,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,1.00,start,encoder
7.80,test_operator,Yanglin,,,Avg Air Humidity,#N/A,#N/A,#N/A,,,,,,,,,,,,,trial-1-liquid_height-5.0-ul-channel_1,1682.70,19.81,trial,1.00,liquid_height,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-celsius-air,316.40,19.90,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,celsius,air,,,,,encoder-volume-5.0-channel_0-trial-1-start-drift,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,1.00,start,drift
7.90,test_version,ai_server@0.0.19_55_g5997dcad97-5997dcad97,,,Avg Stem Temp,#N/A,#N/A,#N/A,,,,,,,,,,,,,trial-2-aspirate-5.0-ul-channel_1,1825.60,3.58,trial,2.00,aspirate,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-humidity-air,316.50,49.60,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,humidity,air,,,,,encoder-volume-5.0-channel_0-trial-1-end-target,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,1.00,end,target
7.90,firmware,68.00,,,Avg Stem Humidity,#N/A,#N/A,#N/A,,,,,,,,,,,,,trial-2-dispense-5.0-ul-channel_1,1825.60,3.53,trial,2.00,dispense,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-pascals-air,316.50,1000.00,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,pascals,air,,,,,encoder-volume-5.0-channel_0-trial-1-end-encoder,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,1.00,end,encoder
0.00,META_DATA_END,,,,Avg Water Remaining,0.04,0.03,0.32,,,,,,,,,,,,,trial-2-liquid_height-5.0-ul-channel_1,1825.70,19.81,trial,2.00,liquid_height,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-celsius-liquid,316.60,25.00,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,celsius,liquid,,,,,encoder-volume-5.0-channel_0-trial-1-end-drift,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,1.00,end,drift
7131.90,______________________,,,,,,,,,,,,,,,,,,,,trial-3-aspirate-5.0-ul-channel_1,1961.90,3.54,trial,3.00,aspirate,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-grams-average,316.60,204.57,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,grams,average,,,,,encoder-volume-5.0-channel_0-trial-2-start-target,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,2.00,start,target
7131.90,RESULTS_OVERVIEW_START,,,,%D Spec +,%D Spec -,,,%D Spec +,%D Spec -,,,,%D Spec +,%D Spec -,,%D Spec +,%D Spec -,,,trial-3-dispense-5.0-ul-channel_1,1962.00,3.47,trial,3.00,dispense,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-grams-cv,316.70,0.00,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,grams,cv,,,,,encoder-volume-5.0-channel_0-trial-2-start-encoder,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,2.00,start,encoder
7131.90,RESULT_META_DATA,None,,,8.00,-8.00,,,2.00,-2.00,,,,1.20,-1.20,,1.20,-1.20,,,trial-3-liquid_height-5.0-ul-channel_1,1962.00,19.80,trial,3.00,liquid_height,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-grams-min,316.80,204.57,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,grams,min,,,,,encoder-volume-5.0-channel_0-trial-2-start-drift,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,2.00,start,drift
7131.90,RESULT_SERIAL-NUMBERS,None,,,8.00,-8.00,,,2.00,-2.00,,,,1.20,-1.20,,1.20,-1.20,,,trial-4-aspirate-5.0-ul-channel_1,2105.00,3.33,trial,4.00,aspirate,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-grams-max,316.80,204.57,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,grams,max,,,,,encoder-volume-5.0-channel_0-trial-2-end-target,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,2.00,end,target
7131.90,RESULT_CONFIG,None,,,,,,,,,,,,,,,,,,,trial-4-dispense-5.0-ul-channel_1,2105.00,3.30,trial,4.00,dispense,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-samples-start-time,316.90,1782896730.52,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,samples,start,time,,,,encoder-volume-5.0-channel_0-trial-2-end-encoder,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,2.00,end,encoder
7131.90,RESULT_VOLUMES,None,,,,,,,,,,,,,,,,,,,trial-4-liquid_height-5.0-ul-channel_1,2105.10,19.80,trial,4.00,liquid_height,5.00,ul,channel_1,,,MeasurementType.INIT-blank-ul-channel_1-trial-1-samples-duration,316.90,9.78,MeasurementType.INIT,blank,ul,channel_1,trial,1.00,samples,duration,,,,,encoder-volume-5.0-channel_0-trial-2-end-drift,#REF!,#REF!,encoder,volume,5.00,channel_0,trial,2.00,end,drift
